OBJECTID *,OBJECTID,DB,pedon_id,obs_date,x_std,y_std,cl,si,sa,Shape *,Y,X,IAphysregionsv4,IA_slp9m,IA_rel135m,IA_prc63m,TWI30m,IA_DHPFP,Cedar,Nish,DesMoines,Iowa2,Missouri2
109,13566,NCSS,S1961IA071002,3/23/1961,-95.68,40.737221,22.4,70.8,6.8,Point,4513043,273703.2,15,8.940404,12.75995,0.000619,6.090994,3,-333946.5,-7200,-195327.8,-268534.5,12657.41
110,13420,NASIS,1966IA071002,24114,-95.574008,40.754347,21.200001,72.199997,4.7,Point,4514675,282709.2,14,0.544796,-0.48999,-0.000157,10.18734,6,-325786.4,1800,-187175.1,-260205.5,20777.15
111,13427,NASIS,1967IA071001,24512,-95.57615,40.769431,24.5,71.099998,4.3,Point,4516355,282577.2,14,0.452289,-0.01001,0.000048,18.0436,6,-324840.6,1600,-186222.5,-259320.8,21636.31
112,4423,NASIS,1968IA071026,41060,-95.451581,40.771394,29.700001,66.5,3.8,Point,4516271,293098.2,14,0.957504,10.23004,0.00459,6.481299,1,-316577.4,11985.41,-178031.4,-250797.2,30679.15
113,5454,NASIS,1973IA145006,41071,-95.362481,40.769908,21.5,73.900002,4.6,Point,4515902,300613.2,14,0.969479,1.819946,0.000232,8.209388,6,-310964.7,19378.6,-172030.6,-245000.5,37345.01
114,5466,NASIS,1989IA173009,30776,-94.892378,40.772997,28,<Null>,<Null>,Point,4515281,340300.2,12,5.718072,4.139954,0.000019,5.819668,3,-281665.6,58641.45,-139819.3,-215034.9,74743.96
115,5473,NASIS,1989IA173021,41086,-94.833286,40.767286,28.1,38,33.900002,Point,4514540,345274.2,12,7.379361,-11.36005,-0.000535,8.498153,3,-278600.1,63526.77,-136452.4,-211926.1,79486.16
116,14303,NCSS,S2008IA173001,8/12/2008,-94.605637,40.781666,40.9,55.2,3.9,Point,4515761,364516.2,12,7.180351,-4.049988,-0.001642,12.52471,3,-264481.5,81040.05,-121695.6,-197779.4,98576.92
117,5868,NASIS,1985IA159001,31296,-94.415567,40.798206,30.1,67.599998,2.3,Point,4517321,380584.2,12,4.592356,-8.349976,-0.000621,8.131737,3,-251008,94679.25,-109810.6,-186063.6,114701.7
118,5520,NASIS,1988IA053002,41436,-93.931494,40.780425,19.799999,24.4,<Null>,Point,4514801,421399.2,12,13.581347,1.210022,0.000006,5.966819,3,-221696.9,133606.3,-89627.51,-163960.2,154828.9
